,header,datetime,text,label
729,Sea defence plans branded 'environmental vandalism',01-09-21 16:52,"Three councillors say works would cause ""irreparable damage"" to a beach.",science
730,Cairngorms eagle chicks fitted with new type of tag,04-08-21 20:25,Conservationists say the devices will provide more detailed and accurate information on the birds' movements.,science
731,Climate change: Should we be demolishing buildings?,09-07-21 6:01,,science
732,Europe floods: ‘The coming days will be hardest’,16-07-21 23:34,,science
733,UN report to show stark reality of climate change,07-08-21 8:12,The IPCC's short scientific summary due out on Monday will be strongest statement yet on climate change.,science
734,'Stay out of the sea' warning area extended,08-08-21 22:14,"The council says the advice will not be lifted until it is ""completely satisfied the sea is safe"".",science
735,'Mountains of rubbish' dumped on beach since June,25-08-21 22:57,"Brighton beachgoers left 300 tonnes of litter in just three months, and 30 tonnes in one weekend.",science
736,Death of thousands of river fish investigated,04-08-21 20:37,"The Environment Agency finds ""significant pollution"" on the River Kent in Cumbria.",science
737,Report outlines 80 options to tackle climate change,24-06-21 18:29,"Scotland's climate assembly recommends free public transport, new green taxes and scrapping air miles.",science
738,Gamekeepers criticise cull of female deer,01-09-21 17:06,The out-of-season cull has been deemed necessary to control deer numbers and to protect trees.,science
739,Naked forest walkers leave locals hot under collar,07-08-21 16:09,One regular visitor to Sherwood Forest says he finds it offensive seeing the nude walkers.,science
740,'Hot Fuzz' swan detained for blocking traffic,03-08-21 15:35,"The ""angry"" bird is taken into police custody after ""swanning around"" a busy road, police say.",science
741,Commuters and children rescued from China floodwaters,21-07-21 16:54,,science
742,'Miracle' cat run over by bus looking for new home,03-09-21 12:35,The tortoiseshell cat needed life-saving surgery and five months care to recover from her injuries.,science
743,Council leader goes for sea dip after sewage leak,25-06-21 0:08,"Ash Ashbee says the water is ""really good"" since the clean-up and Thanet is ""open for business"".",science
744,Meteorite spotted over English Channel,06-09-21 18:55,,science
745,Historic Kelso ram sales ready to return,06-07-21 17:39,The one-day event - which dates back to 1838 - can see spending run into millions of pounds.,science
746,Action 'needed now' to cut farming sector emissions,30-08-21 12:09,The farming industry in Scotland urges ministers to provide a new agricultural support package.,science
748,Green energy issues 'threaten' climate change goal,29-07-21 14:10,"Problems starting renewable energy schemes could see firms bypass Wales, a group of MPs warn.",science
750,Drivers asked for road toll views to cut pollution,03-09-21 18:18,People were asked if they would change their driving habits if they had to pay to use the M4.,science
752,How a dinosaur is installed in a cathedral,13-07-21 20:16,,science
753,Green groups call for COP26 postponement,07-09-21 15:13,Vaccine inequality and travel challenges risk excluding many delegates from poorer nations.,science
754,Future of vital saltmarsh to be secured,02-09-21 12:49,Work to further protect a threatened habitat that helps manage climate change gets under way.,science
755,Forced to eat insects in drought-hit Madagascar,25-08-21 6:35,"The country is on the brink of experiencing the world's first ""climate change famine"", the UN says.",science
757,Wildfires rage across Europe,19-08-21 6:06,,science
758,Dinosaur art trail roars into city,12-07-21 19:28,Twenty-one brightly decorated dinosaur sculptures take over Norwich's streets in a new art trail.,science
759,Treat time for stargazers as meteors light NI sky,05-08-21 12:36,Potentially hundreds of the brightest meteors will be visible across Northern Ireland in August.,science
760,Kitten rescued from car engine after 230-mile trip,02-09-21 19:18,,science
761,Globetrotting climate minister accused of hypocrisy,06-08-21 23:06,Alok Sharma visited more than 30 countries to set up climate conference - and didn't quarantine.,science
762,Scotland must lead by example on climate change,07-09-21 21:37,,science
763,How serious is the government about COP26?,06-08-21 3:10,"With less than 90 days to go to Glasgow climate summit, there is uncertainty surrounding the event.",science
764,Torrential downpours cause flooding across Scotland,10-08-21 1:25,,science
765,Storm Evert to hit south Wales coastal areas,29-07-21 20:52,A yellow warning for wind covers large parts of the south Wales coast on Thursday and Friday.,science
766,WW2 German bunker built inside Roman fort,26-08-21 12:26,Archaeologists examine the walls of a Roman fort in Alderney used by the Germans in World War Two.,science
767,"Dinosaur find by girl, 4, of 'international importance'",21-07-21 20:11,A 200-million-year-old fossilised footprint could help scientists understand how dinosaurs walked.,science
768,Riot training for thousands ahead of COP26,31-08-21 23:28,"About 10,000 officers a day will police the climate summit in Glasgow, one of the biggest-ever UK operations.",science
769,Death toll in north Turkey floods rises to 70,16-08-21 15:47,Flash floods in northern Turkey are the country's second natural disaster this month.,science
770,How Winchcombe meteorite driveway was removed,08-09-21 23:19,,science
772,Vulnerable countries seek emergency climate pact,08-09-21 7:10,The countries at greatest risk say all nations must take bigger steps to avoid climate catastrophe.,science
773,Man makes Olympic-themed squirrel course in garden,02-08-21 14:26,,science
774,"Girl, six, riding scooter to save rainforests",04-08-21 20:23,,science
775,Nasa probe determines Mars' internal structure,23-07-21 5:32,"Scientists now have absolute numbers for the thickness of the Red Planet's crust, mantle and core.",science
777,Schoolboy to take on 200-mile climate change walk,23-07-21 22:20,,science
778,Israel to cut 85% of emissions by mid-century,26-07-21 2:17,PM Naftali Bennett says the decision will help the country gradually shift to a low-carbon economy.,science
779,No apology from PM over Thatcher coal mines remark,06-08-21 22:36,"But No 10 says Boris Johnson recognises the pain of closures, after he said they helped the climate.",science
780,Race to find survivors as Europe reels from floods,18-07-21 2:40,A senior German politician has been criticised for laughing during a visit to affected areas.,science
781,Lights seen in sky during Mexico earthquake,08-09-21 22:26,,science
782,The dilemma of dealing with badgers in a graveyard,20-07-21 18:58,"A Berwick cemetery has an issue with badgers, but what can be done to solve the problem?",science
783,Anglo-Saxon church found at HS2 excavation site,08-09-21 12:18,Archaeologists make the discovery while digging at the site of a Norman church on the rail route.,science
784,Giant poo emoji models floated along river,06-09-21 19:32,"Activists float sculptures in a city centre to highlight waterway pollution and a ""bigger problem"".",science
785,Nature reserve in list of 'spectacular' places to visit,08-09-21 18:51,,science
786,UN climate report is a 'frightening wake-up call',10-08-21 3:49,Infrastructure Minister Nichola Mallon says the NI Executive must progress climate change laws.,science
787,Algerian forest fires spread as death toll soars,11-08-21 20:48,At least 65 people have been killed as the fires continue to spread amid an intense heatwave.,science
788,Drivers warned due to more downpours and floods,09-08-21 1:17,A yellow warning remains in place after torrential rain closed railway lines and flooded streets on Saturday.,science
789,The ancient techniques helping fight climate change,02-07-21 13:35,,science
790,'I'll go to COP26 if it's safe and democratic',31-08-21 12:12,,science
791,Is this Wales' first zero-carbon secondary school?,14-07-21 13:22,Pupils are working with an energy company and suppliers to reach a carbon-neutral goal.,science
792,Rescue teams find survivors in Japan landslide,05-07-21 14:46,Three people are dead and 80 missing as dozens of homes are buried under a torrent of mud.,science
793,Wanted: More babies and immigrants,27-08-21 15:57,"Paying for Scotland's public services needs more babies and immigrants, having passed a population peak last year,",science
794,How is Scotland tackling climate change?,02-08-21 12:32,The Scottish government says its targets are some of the toughest in the world - but what progress is being made?,science
795,What the long-awaited UFO report says,26-06-21 5:18,The report provides few answers on what the US military knows about unexplained flying objects.,science
796,Railway sleepers made of old bottles installed,27-06-21 20:58,"The sleepers will last for 50 years without splitting, rotting or degrading, Network Rail says.",science
797,In pictures: Strawberry Moon rises,25-06-21 17:04,The final supermoon of 2021 was captured by photographers around the world.,science
798,Boohoo CEO says clothes aren’t ‘throwaway’,12-08-21 6:10,,science
800,Tennessee flash floods kill 22 with dozens missing,24-08-21 5:08,The death toll is expected to rise after record-breaking rainfall triggered widespread flooding.,science
801,Lost baby orca dies after failed search for mother,24-07-21 9:24,"Toa, a killer whale stranded from his family, had washed ashore on the New Zealand coast.",science
802,Jeff Bezos and crew launch into space on New Shepard,20-07-21 20:27,,science
803,Wales in 'last-chance saloon' on climate change,10-08-21 3:45,"Rising sea levels could force the ""significant relocation of communities"" in Wales, one expert warns.",science
804,Climate Check: Europe floods,20-07-21 17:46,,science
805,Lioness undergoes three-hour root canal operation,17-07-21 0:16,,science
806,Doncaster tips to close for repairs after 'unprecedented' use,01-09-21 22:17,,science
807,Roof tiles on 500-year-old manor adapted for bats,12-08-21 12:01,A coating of paint mixed with sand allows the creatures at a stately home to grip on the roof.,science
808,Stream turning blue sparks investigation,16-08-21 22:11,"A community farm says it relies on the stream for water, and children and pet dogs often enter it.",science
809,"New tax on sugar and salt unattractive, says PM",15-07-21 20:11,Boris Johnson says he will consider the proposal as the food industry warns it could lead to price rises.,science
810,Farmer evicted as solar farm funding approved,03-08-21 18:39,"Andrew Lake and his cows will be made to move to make room for 72,000 solar panels on the land.",science
811,Covid scanner firm to create hundreds of jobs,16-07-21 15:34,At least 800 roles will be created at UtterBerry's new manufacturing and innovation hub in Leeds.,science
812,Edinburgh clean-up under way after flash flooding,05-07-21 21:26,,science
813,Iceland's spectacular volcano tracked from space,07-07-21 14:05,Orbiting radar satellites make a timelapse of daily activity at the impressive Fagradalsfjall volcano.,science
814,Fracking test site to be restored to natural state,28-07-21 23:05,Misson Springs in Bassetlaw last saw tests for shale gas extraction back in 2019.,science
815,Thailand bans coral-damaging sunscreens,05-08-21 1:45,Anyone flouting the rules could be fined due to the damage some lotions can cause to coral.,science
816,Pope Francis will not celebrate Mass during COP26,16-08-21 22:31,The Catholic leader will not have time for a public celebration during his visit to the summit in Glasgow in November.,science
817,The pianist playing for Easter Island's future,01-07-21 7:10,Mahani Teave returned to one of the world's most remote inhabited island to help preserve its culture.,science
818,Climate change focus for heritage centre revamp,05-08-21 12:15,"A £12m transformation is planned for the city's Discovery Point, home to the ship that took Scott and Shackleton to Antarctica.",science
819,Dozens dead and more missing in Europe flooding,15-07-21 20:06,Some 49 people are dead in Germany and Belgium as rivers burst their banks after record rainfall.,science
820,Villagers create green alternative to oil heating,05-07-21 15:00,More than 100 boreholes will be dug in a field to provide natural heating to residents.,science
821,Backyard moth spotting rises during lockdown,08-07-21 7:52,"Experts are heartened by a new found interest in the ""underappreciated and under-threat"" insects.",science
822,Town's congestion charge zone plans scrapped,03-07-21 0:39,"It comes after Reading council said the current climate emergency required ""radical proposals"".",science
824,Scottish Greens back historic government deal,28-08-21 22:35,Party members voted overwhelmingly to support an agreement that will see their co-leaders becoming ministers.,science
826,Water pollution from mines could cost Wales £282m,20-08-21 21:53,Natural Resources Wales identifies 129 disused sites causing problems to nearby rivers and streams.,science
827,Fear for children after asbestos found on beach,21-08-21 13:10,Campaigners are calling for the removal of what they say is hazardous waste uncovered by erosion.,science
828,The sound of China's Zhurong rover on Mars,27-06-21 15:47,,science
829,First batch of student's washing machines shipped,13-08-21 17:22,"Inspired by a salad spinner, Navjot Sawhney invented the hand-cranked washer four years ago.",science
830,Effects of litter on Royal Parks wildlife depicted,05-08-21 17:37,Litter weighing the equivalent of 157 double-decker buses was collected in the space of a year.,science
831,Exotic animals killed in petting zoo barn fire,06-07-21 16:50,"Several birds, meerkats, an armadillo and a giant tortoise have died, the zoo said.",science
832,US-Canada heatwave: Visual guide to the causes,02-07-21 16:08,"Maps, graphics and charts explaining the Canada and north-west US heatwave, with temperatures at nearly 50C.",science
833,India discovers new plant species in Antarctica,08-07-21 11:57,The dark green moss species was discovered near one of the remotest research stations in the world.,science
834,In pictures: Plant species identified in lockdown,07-07-21 12:13,Botanic gardens in Scotland have helped to formally identify 73 species since March last year.,science
835,Climate change: Leaders demand more power,13-07-21 21:47,,science
836,Ellen MacArthur to advise ministers on environment,22-08-21 15:14,The round-the-world yachtswoman is among the experts appointed to a new Scottish government committee.,science
837,Evidence 'lions used' in Roman Britain executions,10-08-21 18:47,"The bronze key handle found in Leicester shows a ""Barbarian"" grappling with a lion.",science
838,Sea scooters 'ploughing' into birds prompts outcry,22-07-21 1:21,Springwatch presenter Iolo Williams wants users to require licences and vehicles to carry number plates.,science
839,'Why I am giving up my home to climate activists',21-08-21 15:38,The cost of staying in Glasgow during the world climate change summit means activists are helping each other out.,science
840,Plastic Fantastic: Designer clothes made from waste,01-07-21 5:40,,science
841,Starmer wants climate change 'coalition of countries',09-08-21 22:58,,science
842,'Today space is Virgin territory',11-07-21 23:04,,science
843,Flood warning service goes live for 500 homes,21-08-21 17:01,The warning services covers home near Carlisle and Brampton as well as Grasmere.,science
844,Recycling unwanted buckets and spades,07-08-21 13:49,,science
845,Can hydrogen fuel help drive towards green future?,03-07-21 16:14,Supporters are calling for a clean fuel strategy but critics are not sure about hydrogen's role.,science
846,Shire horses help harvest at Cambridge University,02-08-21 20:01,The meadow outside King's College Chapel is being harvested using traditional methods.,science
847,Rare moth spotted on land earmarked for warehouses,22-07-21 12:28,A wildlife trust is calling for the area to be protected after the endangered forester moth is sighted.,science
848,First space tourist: 'I was euphoric',20-07-21 6:02,,science
849,Hopes for endangered Snowdonia Hawkweed revival,28-08-21 18:38,"The plant was called ""the Welsh dodo"" and there were fears it was extinct until a discovery in 2002.",science
850,The climate disaster warning India cannot ignore,10-08-21 11:13,"It is the world's third largest carbon emitter, but hasn't set a date for becoming carbon neutral.",science
851,Minister to explore other options to tree felling,25-06-21 21:48,"Attempts to avoid the loss of 25 elms will be made, the environment minister says.",science
852,Audio of 'talking' Australian duck rediscovered,07-09-21 20:50,"The 1987 recording appears to show Ripper the Australian musk duck saying: ""You bloody fool"".",science
853,Right to repair rules come into force,01-07-21 17:54,"Appliances will be cheaper to own, the government says, under plans that will extend the lifespan of household goods.",science
854,Europe floods: Are governments starting to accept climate change?,17-07-21 17:24,,science
855,Plea to eat less meat causes beef in Spain,09-07-21 3:14,A minister faces pushback from fellow coalition members after urging carnivores to cut down.,science
856,Green light for largest net zero housing project,05-07-21 22:14,"It is part of the £1.3bn Granton Waterfront Regeneration where more than 3,500 homes will be built in Edinburgh.",science
857,Vegetable oil-powered train will transport cars,29-07-21 23:20,The train is to be used to carry Toyota hybrid cars from Derbyshire to the continent.,science
858,New Orleans braces for direct hit from hurricane,29-08-21 1:57,"Hurricane Ida is forecast to strike as a category 4 storm, even stronger Katrina 16 years ago.",science
859,Wrightbus 'firmly back in business' with 300 jobs,17-08-21 17:47,,science
860,"Finding 'Grace': Murder, DNA and ancestry",16-07-21 7:05,How a novel use of DNA and ancestry websites is helping police uncover clues in cold case murders.,science
861,Extremes committee validates Antarctic record heat,02-07-21 1:51,A temperature of +18.3C on the continent last year is recognised but an even hotter claim is rejected.,science
862,Inquiry into alleged theft of Armada wreck artefacts,02-08-21 23:45,Divers have allegedly removed artefacts from an Armada warship sunk off the County Antrim coast.,science
863,Young people seek counselling over climate worries,24-06-21 17:04,,science
864,Proof unearthed of Neolithic dairy farming in Wales,12-08-21 14:12,"Shards of decorated pottery containing traces of dairy fat residue have been dated to 3,100BC.",science
865,Further warning of heavy rain and thunderstorms,04-07-21 3:50,Sunday's warning covers parts of north Wales from 10:00 BST until midnight.,science
866,Space Shuttle lessons for SpaceX and Blue Origin,19-07-21 5:48,,science
867,Second 10ft-long python spotted roaming village,01-09-21 18:24,"The reptile is rescued close to where another was found four days earlier, the RPSCA says.",science
868,Rare and colourful visitor thrills birdwatchers,29-06-21 20:31,,science
869,Isle of Man £3m rubbish tip plans put forward,13-07-21 14:18,The new tip would serve five local authorities and offer more potential for recycling.,science
870,Government outlines five-year climate change plan,27-07-21 17:48,The new climate change action plan includes a focus on harnessing the resources of the ocean.,science
871,Quest to retrieve 50-year-old UK space debris,08-07-21 16:27,Edinburgh-based rocket company Skyrora issues a challenge to recover the Prospero satellite.,science
872,"From one Acorn, can 20,000 jobs grow?",21-07-21 17:17,A controversial carbon capture project in Aberdeenshire claims it will create tens of thousands of jobs.,science
873,First-ever water shortage on US' Colorado River,17-08-21 22:54,Historic droughts have led to water supply cuts on a river millions in the US and Mexico rely on.,science
874,Seal photos used in bid to stop numbers decline,05-07-21 16:28,Scientists say each animal is born with a unique facial pattern which stays the same for life.,science
875,Climate bill 'will be ruination of NI agriculture',16-08-21 12:31,A wrangle over competing climate laws continues as farmers say one bill will hit their industry.,science
876,Cygnet dies as pair found trapped in fishing line,31-07-21 0:49,The RSPCA asks anglers to dispose of tackle properly after young swans die.,science
877,Tensions rise in Haiti after deadly earthquake,20-08-21 22:57,"Five days after a powerful earthquake struck, hundreds are missing and people are desperate for aid.",science
878,The woman giving toys a new life,14-07-21 6:11,,science
879,Rare white puffin spotted on Scottish island,01-07-21 15:57,"The young puffin, spotted on Handa Island, has a lack of pigmentation caused by a genetic condition called leucism.",science
880,Seasick swimmer makes history on island challenge,04-08-21 20:21,"James Armour has become the first person to swim, run and cycle the length of the Outer Hebrides.",science
881,Astronomers see galaxies in ultra-high definition,18-08-21 0:27,Researchers capture some of the most detailed images ever seen of galaxies in deep space.,science
882,Ros Atkins on… the North America heat waves,17-07-21 6:00,,science
883,Italy says record 48.8C is registered on Sicily,12-08-21 13:43,"If the registered reading is verified, it will be hottest temperature ever recorded in Europe.",science
884,Chris Packham calls for rethink in elm trees row,30-06-21 22:49,The naturalist calls for alternatives to be sought in a row over the felling of 25 trees in St Marks.,science
885,Torrent of mud submerges homes in Japan,03-07-21 18:42,,science
886,"Carry on flying, says government green plan",14-07-21 18:05,The policy has been ridiculed by environmentalists who say the government is putting too much faith in innovation.,science
887,Famous Central Park owl killed in crash with truck,08-08-21 12:23,Barry the beloved owl was hit by a maintenance vehicle in the park while searching for food.,science
888,'Stay out of the sea' warning after sewage leak,07-08-21 22:51,Southern Water said a system fault at a pumping station led to waste water entering a nearby brook.,science
889,Five dolphins die in 'unusual stranding event',17-08-21 18:13,The dolphins were part of a group of more than 50 that got into difficulty in the Cromarty Firth.,science
890,Mystery orcas spotted in Scotland found in Norway,23-07-21 12:09,The pod of six killer whales photographed in a Norwegian fjord were last spotted off Vatersay in 2018.,science
891,Red meat sector opposes proposed climate law,24-06-21 18:49,The agri-food industry says the sector would be disproportionately affected by the legislation.,science
892,Weather-related disasters increase five-fold,01-09-21 14:04,"Floods, storms and extreme events increase five-fold but the number of people dying in them fell.",science
0,Liberty Steel nationalisation 'an option',30-03-21 18:55,"Business secretary concerned about ""opaque"" nature of ownership but won't rule out public purchase.",business
1,"Consumer charity, dating and pet spending surges",22-07-21 6:02,"People have been spending more on non-essentials as Covid restrictions ease, Nationwide says.",business
4,'We had a build-up of pigs after Brexit',31-03-21 20:38,"Traders talk of ""teething problems"" and ""obstruction"" since the UK left the EU single market.",business
5,UK defence giant Ultra agrees to £2.6bn takeover,16-08-21 18:20,The deal to buy the major supplier to the Royal Navy is being monitored by the UK government.,business
6,Why Covid has jacked up used car prices,14-07-21 20:37,Prices are surging for second-hand cars in one of the strangest periods the market has been through.,business
7,Superyacht sales surge as wealthy escape Covid,19-05-21 1:46,The charity Oxfam says the millions spent on superyachts could instead vaccinate entire countries.,business
8,Holiday firms launch legal action on travel rules,09-07-21 21:55,Group including Ryanair and BA wants more government transparency over Covid travel rules.,business
9,Retailers call for 'Shop Out to Help Out' scheme,31-03-21 2:57,Retail veterans say the government must do more to help independent shops survive as lockdown is eased.,business
10,Is this the future for international business deals?,30-03-21 7:24,,business
11,Can a VR headset or pot plant boost productivity?,01-04-21 6:37,From peloton bikes to teabags - how the corporate world is motivating home workers.,business
12,Toy giant warns of higher prices as costs rise,28-07-21 11:10,The Barbie maker's comments as it announced better than expected quarterly sales.,business
13,Drugs giant to pay $230m to settle opioid claim,27-06-21 16:40,Drugs firm to pay to settle claims it fuelled opioid painkiller addiction crisis in New York State.,business
14,Warner Music teams up with Tencent to crack China,23-03-21 8:38,"The US record label says the deal with China's tech giant will help make its artists ""impossible to ignore"".",business
15,Google to cut fees for Android app developers,16-03-21 22:05,App-makers will be charged a 15% cut of their first $1m of sales rather than the current 30%.,technology
16,Lloyds fined for nine million misleading letters,08-07-21 21:46,"The bank claimed in the letters that insurance renewal quotes being offered were a ""competitive price"".",business
17,Bid to use criminal cash to refund scam victims,11-06-21 17:10,"A survey suggests such a move would be popular, but the money available would be insufficient.",business
18,New Alan Turing £50 note enters circulation,23-06-21 14:02,"The old £50 and £20 banknotes will be withdrawn by October next year, the Bank of England says.",business
19,"Amber list travel is legal, says EasyJet boss",20-05-21 16:53,"Government guidance on travel to amber list countries is ""very confusing"", says Johan Lundgren.",business
20,Wetherspoons warns VAT move to push up meal prices,07-07-21 14:23,The pub chain says it will put up the price of meals in its pubs if a VAT cut for hospitality is not extended.,business
21,Charities say energy choice needed in poorer homes,29-06-21 18:04,"People with prepayment meters should get priority for new, money-saving energy technology, charities say.",business
22,The Weeknd and BTS help boost music sales to $21bn,23-03-21 22:02,"BTS had the best-selling album of 2020, helping music industry revenues grow for the sixth year.",business
23,Businesses seek support from next government,04-08-21 20:34,"Business say they want more engagement from the next administration after a ""tough couple of years"".",business
24,Labour leader criticises government business investment,12-03-21 17:07,,business
25,'We have three job adverts out but no applicants',02-09-21 14:58,"The owner of a coastal restaurant says it is the worst year for staff shortages ""by a long shot"".",business
26,Mandatory vaccines for Bloomsbury office staff,18-06-21 21:53,The Harry Potter publisher will require all staff to be vaccinated before they return to offices.,business
28,'If the steelworks shuts it will destroy Rotherham',27-03-21 1:04,"As Liberty Steel scrambles to re-finance the business, steel workers fear for their future.",business
29,'Don't call me 'Dad' at work!',28-07-21 6:06,,business
30,Meat trading service set up to help farmers,12-03-21 23:25,,business
31,"Small firms' account delays are over, insist banks",28-05-21 6:28,Start-ups had expressed anger that some banks had stopped accepting new account applications.,business
32,Tech Tent: The new 'space race' for computer chips,12-03-21 17:07,High-end computer chips might be the key to winning the artificial intelligence arms race.,technology
34,Post Office scandal inquiry to be bolstered,19-05-21 0:12,The move by the government will mean witnesses could be compelled to give evidence and hand over documents.,business
36,Port lorry drivers fear loss of truck stop,29-07-21 21:03,Drivers say there is nowhere else to park securely as they head to the UK's biggest container port.,business
37,Government could intervene in Meggitt takeover,02-08-21 22:27,"The UK government is ""closely monitoring"" a US firm's plan to buy the UK defence and aerospace company.",business
38,Bitcoin comes to UK PayPal - but not for payments,23-08-21 21:48,PayPal will allow cryptocurrency investment - but the assets cannot be used to make payments.,business
39,"Airport to pay out £86,000 over runway noise",31-03-21 21:38,A court rules that Southend Airport has to pay compensation to neighbouring households.,business
40,'Bosses ignore you if they can't say your surname',14-04-21 19:43,"Young black people are three times more likely to be out of work than white peers, research shows.",business
43,Job centre workers 'feel unsafe returning to work',19-04-21 6:16,A union representing job centre staff says three in five feel unsafe interacting with the public.,business
44,Halfords bike supplies hit as cycle boom continues,17-06-21 15:59,The retailer says sales have surged amid travel restrictions but lockdowns have hampered manufacturers.,business
45,Historic Amazon union drive set to conclude,30-03-21 1:12,Workers at an Amazon warehouse in Alabama are voting on whether to join a trade union.,business
46,'We lost our life savings in a cryptocurrency scam',29-07-21 6:03,"A pensioner caught up in an investment saga lost it all, prompting warnings to others.",business
47,Accountancy giant sets working class staff target,09-09-21 22:48,"By 2030, KPMG wants 29% of its senior staff to have parents that worked in ""routine and manual"" jobs.",business
48,Hundreds lose job in British Gas contracts row,16-04-21 18:46,Almost 500 engineers have been let go after they refused to sign new contracts forcing them to work more hours.,business
49,Brewdog reveals plans for 'beer hotel' in Edinburgh,12-04-21 17:20,The Scottish firm says the Doghouse-branded boutique hotel will be in a former school in Market Street.,business
51,Are businesses really tackling racial inequality?,29-05-21 2:29,,business
52,Belfast IT firm Kainos buys business in Argentina,01-09-21 14:15,"The purchase will add 42 new staff to the company, based mainly in the Americas.",business
53,Adults turning to toys drives model railway sales,10-06-21 19:40,Sales jump at Hornby after children and adults bought its model trains and cars during the pandemic.,business
54,Tech Tent: Green Bitcoin and innovative engines,28-05-21 17:02,"Rory Cellan-Jones explores two industries - one old, one new - trying to ""green up"" their operations.",technology
55,China's Tencent revenues surge thanks to gaming boom,25-03-21 11:27,The Chinese technology giant has also seen a big rise in international sales as it expands overseas.,business
56,"Cash and card use dived in lockdown, says report",16-06-21 15:44,"Most payments by consumers are spontaneous but options were limited by the Covid crisis., say banks.",business
57,Sky Broadband says online access problems resolved,20-08-21 19:23,Sky customers complained they could not access some online services including at banks HSBC and TSB.,business
58,US investment in Derry firm to create 100 jobs,16-06-21 0:33,Marlin Equity Partners buys a majority share in online training company Learning Pool.,business
59,'Lockdown taught us we're more than just a gym',10-04-21 4:15,"On Monday, businesses will reopen after months of being closed, but can they adapt to the ""new normal""?",business
60,Fashion for Crocs continues to break records,23-07-21 17:23,The chunky shoe's sales nearly doubled in the three months to the end of June compared with last year.,business
61,Saw horror franchise tops $1bn with Spiral release,24-05-21 22:35,The ninth entry in the long-running horror series proves a box office hit but divides critics.,business
62,"'We will lose £1,300 unless we get flight refund'",09-06-21 22:31,Customers react as watchdog investigates whether Ryanair and BA broke law in refusing Covid refunds.,business
63,Post Office scandal meant man missed dad's death,24-04-21 0:45,A postmaster reveals he missed saying goodbye to his dying father due to being wrongly convicted.,business
64,When will Covid recovery take flight?,22-04-21 14:04,The continuing uncertainty about the return of international travel carries wider concerns than summer holidays.,business
65,Why April is a big month for your finances,01-04-21 6:03,"Lots of changes to household bills, tax and other elements of finances take place in the course of a week.",business
66,Insurance claims plunge as drivers stay at home,12-03-21 17:09,"The drop in claims is not mirrored in cheaper premiums, but insurers say motorists have been supported.",business
67,Uber 'willing to change' as drivers get minimum wage,17-03-21 20:46,It comes after a court ruling on driver status and could have consequences across the gig economy.,business
70,"Petrol prices at eight-year high, says AA",16-07-21 18:30,Prices hit the highest since October 2013 amid forecasts of a very busy summer on UK roads.,business
71,BA in talks over short-haul Gatwick flights,27-08-21 0:47,The airline confirmed it was talking with unions on plans to create a short-haul flight operation.,business
72,Pandemic impact blamed for Buccleuch's £5m loss,30-06-21 22:43,"One of Scotland's biggest private landowners says overall business showed ""strength and stability"".",business
73,Post Office scandal: 'I just forgot how to laugh',21-06-21 6:18,Anjana and Baljit Sethi ran two successful Post Office branches - then they fell victim to the Horizon scandal.,business
74,NHS blood test tube shortage set to worsen,27-08-21 0:02,"NHS England admits supplies of the tubes will become ""even more constrained over the coming weeks"".",business
75,'We have six unfilled jobs but no one has applied',08-07-21 17:30,"Job vacancies grew at their fastest rate in 24 years in June - but so did staff shortages, research finds",business
76,Ikea in talks to buy former Topshop flagship store,10-09-21 1:32,The Swedish furniture giant could gain space in the popular London shopping location.,business
77,'I was due an £82-a-week pension but got nothing',12-05-21 6:17,"A 73-year old will now receive £20,000 in pension arrears as a report suggests many thousands more miss out.",business
78,Why is there a chip shortage for computers and cars?,22-03-21 23:07,Carmakers and consumer-gadget companies are struggling to source enough computer chips.,business
80,Cineworld enjoys strong reopening weekend,24-05-21 15:41,"The chain, which has seen huge losses in the pandemic, says film fans have flocked back to its cinemas.",business
81,Is Big Tech going off remote working?,06-04-21 6:19,"After much hype about working from home, some tech companies are getting cold feet.",technology
83,French tech firm to create 100 jobs in Belfast,23-04-21 12:33,Expleo will double its workforce in the city with new roles in robotics and artificial intelligence.,business
84,Facebook staff can 'continue working from home',19-04-21 6:29,"The US technology giant tells the BBC that remote working after the pandemic is ""the future"".",business
86,"'People didn't believe my CV', says board director",16-06-21 7:30,"Women still face difficulties getting onto boards at smaller firms, according to research.",business
87,Insurers criticised over extent of Covid cover,15-06-21 6:41,"Travel insurance offering ""complete"" cover for Covid-related disruption is barely available, says Which?.",business
88,JD Sports perplexed by Footasylum deal knockback,02-09-21 14:45,The competition watchdog says it still has concerns the merger could lead to a worse deal for shoppers.,business
89,Poorer towns have the most betting shops - study,23-08-21 10:20,"Areas with the highest number of betting shops per capita include Glasgow, Liverpool and Middlesbrough.",business
91,How to back up your data and keep it safe,03-09-21 6:49,Experts recommend using three drives to back up your data and using cloud-based services.,technology
92,Thousands recruited to front UK firms in 'tax dodge',10-05-21 9:20,Tens of thousands of companies are being set up with Filipino directors to benefit from UK tax relief.,business
93,Food and drink sector criticise Australia trade deal,11-06-21 5:05,"A letter has been sent to UK Trade Secretary Liz Truss from 14 businesses and trade bodies over ""rushed"" negotiations.",business
95,Toshiba confirms $20bn takeover bid from British fund,07-04-21 9:47,The scandal-hit Japanese electronics giant has received an offer from CVC Capital Partners.,business
96,Goldmans backs office life with new Birmingham hub,13-04-21 14:27,The investment bank is creating a new Midlands outpost which will eventually employ up to 500 staff.,business
